,,Elbow angle (degrees),,,,Elbow angle (rad),,,,Elbow angular velocity (rad/s),,,,Elbow angular acceleration (rad/s^2),,,
,,,,,,,,,,,,,,,,,
MAX,,57,1.524,45.594,19.747,0.994837673636768,0.026598817800394,0.795765419154295,0.34465016739132,2.55097323471493,1.54566358556618,2.58029476614838,0.531976356007879,25.1327412287156,16.0849543863803,18.5982285092481,11.8123883774969
MIN,,20.339,-26.852,15.738,11.669,0.354982516563127,-0.468655810745517,0.274679917678868,0.203662470415218,-2.44625347959525,-1.65038334068585,-1.94988184032807,-0.68277280338019,-25.8867234655782,-22.8707945181338,-25.6353960532889,-8.29380460547788
,,,,,,,,,,,,,,,,,
frame,t (sec),R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Add_Ang,R_Elbow_Ang,R_Shl_Flex_Ang,L_Elbow_Ang,L_Shl_Flex_Ang,R_Elbow_Ang_Vel,R_Shl_Flex_Vel,L_Elbow_Ang_Vel,L_Shl_Flex_Vel,R_Elbow_Ang_Acc,R_Shl_Flex_Acc,L_Elbow_Ang_Acc,L_Shl_Flex_Acc
54,0.45,45.496,-12.53,23.738,17.724,0.79405499648734,-0.218689755274889,0.414306257838414,0.309342156623475,2.38970481183066,0.615752160103602,-1.12050137978037,0.171740398396248,-7.79114978089807,6.78584013175475,5.78053048260206,-5.78053048260361
55,0.458333333333333,44.355,-12.824,24.273,17.642,0.774140789722085,-0.223821023275753,0.423643769336584,0.30791098663684,2.45463106000481,0.559203492338979,-1.16867246713539,0.219911485751278,-6.7858401317542,5.7805304826041,5.52920307032053,-5.78053048260712
56,0.466666666666667,43.183,-13.091,24.831,17.537,0.753685530888711,-0.228481052378578,0.433382706562712,0.306078390922246,2.51117972776943,0.511032404983945,-1.21474915938806,0.268082573106337,-3.7699111843071,4.52389342117031,5.52920307031625,-5.27787565802888
57,0.475,41.984,-13.335,25.411,17.409,0.732759033157299,-0.232739655753444,0.443505616224279,0.303844369479693,2.54259565430532,0.473333293140859,-1.2608258516407,0.312064870256578,-1.00530964915293,3.76991118430714,4.77522083345785,-4.52389342117055
58,0.483333333333333,40.77,-13.561,26.013,17.26,0.711570736038088,-0.236684099862951,0.454012498321285,0.301243828894221,2.55097323471493,0.441917366604966,-1.30061935858618,0.349763982099666,2.26194671058878,2.51327412287243,5.02654824574151,-3.51858377202071
59,0.491666666666667,39.552,-13.772,26.634,17.093,0.690312625748797,-0.240366744584659,0.46485099297617,0.298329129043391,2.53212367879336,0.420973415581029,-1.34250726063403,0.379085513533172,6.03185789488743,1.2566370614351,4.52389342117298,-2.76460153515931
60,0.5,38.343,-13.973,27.275,16.912,0.669211595092186,-0.243874856381168,0.476038553481453,0.295170083097281,2.48185819633596,0.41050144006907,-1.38020637247713,0.402123859659499,8.79645943005959,0.251327412288381,3.51858377201557,-1.50796447372171
61,0.508333333333333,37.158,-14.169,27.934,16.72,0.648529443456053,-0.247295701715077,0.487540273252096,0.291819050933452,2.40855436775213,0.408407044966667,-1.4095279039106,0.414690230273847,11.3097335529154,-1.50796447372421,3.01592894745177,-0.753982236861843
62,0.516666666666667,36.008,-14.364,28.607,16.522,0.628458157058118,-0.250699093756465,0.499286339118018,0.288363299014503,2.31430658814451,0.420973415581036,-1.43466064513936,0.420973415581029,13.0690254389379,-2.51327412287169,3.26725635972968,0.753982236861186
63,0.525,34.903,-14.565,29.292,16.321,0.609172268823581,-0.254207205552974,0.511241844494179,0.284855187217995,2.20539804282002,0.441917366604966,-1.46188778147044,0.414690230273852,14.3256625003658,-3.51858377202022,4.02123859659728,2.01061929829704
64,0.533333333333333,33.85,-14.776,29.99,16.123,0.590793951800081,-0.257889850274682,0.523424242673099,0.281399435299046,2.08601752198364,0.471238898038468,-1.49539810310875,0.39793506945471,15.0796447372349,-4.27256600888219,4.02123859659164,2.76460153515962
65,0.541666666666667,32.854,-15.001,30.704,15.933,0.573410472450217,-0.261816841091669,0.535885893532339,0.278083309720256,1.96035381584002,0.506843614779153,-1.52890842474702,0.37489672332838,15.5822995618031,-4.77522083345601,4.52389342117271,3.76991118430769
66,0.55,31.918,-15.243,31.434,15.754,0.55707419065155,-0.266040537881496,0.548626797071898,0.274959170359187,1.83050131949166,0.54663712172462,-1.56660753659012,0.343480796792483,15.833626974093,-5.52920307031966,3.76991118430596,4.2725660088814
67,0.558333333333333,31.044,-15.504,32.182,15.59,0.54182001298912,-0.270595847229201,0.561681859876815,0.272096830385916,1.69855442804088,0.592713813977283,-1.59802346312601,0.307876080051804,15.0796447372302,-5.52920307031645,3.26725635973447,4.27256600888301
68,0.566666666666667,30.233,-15.787,32.945,15.443,0.527665392755446,-0.275535129012345,0.574998722069532,0.269531196385484,1.5728907218973,0.63879050622992,-1.62525059945713,0.272271363311113,14.576989912661,-5.27787565803044,2.26194671058255,4.52389342116911
69,0.575,29.482,-16.092,33.721,15.313,0.514557970072968,-0.280858383230927,0.588542477065008,0.267262268357892,1.45141580595846,0.682772803380174,-1.64410015537865,0.234572251468037,13.8230076757894,-4.77522083345869,2.01061929829964,4.02123859659444
70,0.583333333333333,28.789,-16.418,34.506,15.201,0.502462838356648,-0.286548156592429,0.602243311693163,0.265307499595658,1.33622407532688,0.722566310325663,-1.66085531619781,0.20106192982975,13.320352851222,-3.76991118430674,1.50796447372237,4.52389342116953
71,0.591666666666667,28.151,-16.763,35.299,15.105,0.491327637728924,-0.292569542511809,0.616083772661478,0.263631983513743,1.22522113490003,0.753982236861553,-1.67342168681216,0.16336281798667,12.8176980266482,-4.2725660088814,1.00530964915091,4.02123859659487
